;A/turkey/Ontario/FAV110-4/2009(H1N1);A/mallard/Nova_Scotia/00088/2010(H1N1);A/thick-billed_murre/Canada/1871/2011(H1N1);A/duck/Guangxi/030D/2009(H1N1);A/mallard/France/691/2002(H1N1);A/duck/Hokkaido/w73/2007(H1N1);A/pintail/Miyagi/1472/2008(H1N1);A/mallard/Korea/KNU_YP09/2009(H1N1);A/mallard/Maryland/352/2002(H1N1);A/mallard/Maryland/26/2003(H1N1);A/dunlin/Alaska/44421-660/2008(H1N1);A/mallard/Minnesota/Sg-00620/2008(H1N1);A/turkey/Virginia/4135/2014(H1N1);A/chicken/Eastern_China/XH222/2008(H5N1);A/duck/Eastern_China/JS017/2009(H5N1);A/chicken/Yunnan/chuxiong01/2005(H5N1);A/chicken/Germany/R3234/2007(H5N1);A/domestic_duck/Germany/R1772/2007(H5N1);A/wild_bird/Hong_Kong/07035-1/2011(H5N1);A/Chicken/Hong_Kong/822.1/01_(H5N1);A/chicken/Miyazaki/10/2011(H5N1);A/chicken/Korea/es/2003(H5N1);A/mandarin_duck/Korea/K10-483/2010(H5N1);A/turkey/VA/505477-18/2007(H5N1);A/American_black_duck/NB/2538/2007(H7N3);A/American_black_duck/New_Brunswick/02490/2007(H7N3);A/American_green-winged_teal/California/44242-906/2007(H7N3);A/avian/Delaware_Bay/226/2006(H7N3);A/chicken/British_Columbia/GSC_human_B/04(H7N3);A/chicken/Rizhao/713/2013(H7N9);A/chicken/Jiangsu/1021/2013(H7N9);A/duck/Jiangxi/3096/2009(H7N9);A/wild_duck/Korea/SH19-47/2010(H7N9);A/turkey/Minnesota/1/1988(H7N9);A/mallard/Minnesota/AI09-3770/2009(H7N9);A/mallard/Postdam/178-4/1983(H2N2);A/duck/Hong_Kong/319/1978(H2N2);A/emperor_goose/Alaska/44297-260/2007(H2N2)
A/dunlin/Alaska/44421-660/2008(H1N1);1.0963788309476854;1.2253501376989675;1.2253501376989675;1.5672356674642174;0.8874196536295074;1.5672356674642174;1.5672356674642174;1.4439542713049036;0.8874196536295074;0.8874196536295074;0.0;0.8948015879316245;1.0963806242853025;1.5304763987692809;1.567242667724031;1.4439514406791432;1.2253486040685289;1.2253486040685289;1.2950281060644784;1.0171068500392835;1.5304804973993669;0.8948020650568651;1.5304804973993669;0.8874211070200033;0.8948054279067037;0.8948005745105547;0.8874214510888123;0.8874181601562157;0.8948011259690247;1.0963780576798854;1.372095062392873;0.9397678460900352;1.0963790731871086;1.0171049364632267;1.3910870487347324;1.5304806540307254;0.9014267910162062;1.4439552405156064
A/mallard/Minnesota/Sg-00620/2008(H1N1);1.0963822697447085;1.3912688872743502;1.5304754146270625;1.0805619226109684;1.3612925507935643;0.9258813768342407;0.9262151082954233;1.643718902321325;0.894798118031531;0.7639357500126494;0.8948015879316245;0.0;1.0963806242853025;1.6584630627100978;1.0422804190176294;1.6437119675399572;0.7652386565526399;1.6437123740803372;0.8284276638986512;1.6584735032930666;1.8645159786927934;0.7652362050449142;1.8645159786927934;1.361286391905594;0.8284271022826601;0.548188443231652;0.6833751271042843;0.7920798235593338;1.1701151093272983;1.042275888826282;1.372095062392873;0.8948026208202009;1.361295118515045;1.6584695980716333;1.6584598198306821;1.8645063144914502;1.3612929594643788;1.8645156971551842
A/turkey/Virginia/4135/2014(H1N1);0.4881997864086429;1.2253541429072357;1.2253541429072357;1.567239683254229;1.0963806242853025;1.567239683254229;1.567239683254229;1.5845771070689807;1.5845771070689807;1.0963806242853025;1.0963806242853025;1.0963806242853025;0.0;1.584580899593334;1.567242667724031;1.557182249737366;1.5845815926479645;1.4439474707588715;1.2950281060644784;1.58458192000802;1.5845806996694023;1.584576879686665;1.5845806996694023;1.4439463962943933;1.0422813294285334;1.096376886463304;1.0963796054293198;1.0963798998242567;1.0963822697447085;1.042275888826282;1.372095062392873;1.7320665402257873;1.0422756729589082;1.0963766814342648;1.3910870487347324;1.7320550462488882;1.584582482648159;1.4439539662420202
A/chicken/Eastern_China/XH222/2008(H5N1);1.584580899593334;1.2979597438840642;1.2979597438840642;2.0833530418647115;0.8948021497718628;2.0833530418647115;2.0833530418647115;0.7578762049635088;1.0422804190176294;1.0422804190176294;1.5304763987692809;1.6584630627100978;1.584580899593334;0.0;2.0833530418647115;1.0019688335606816;1.9124143631343031;1.184720283579793;2.358907178998038;0.8419145066077931;1.0422754999169115;1.1010213685791541;1.0422754999169115;1.042659847578875;1.425581372142915;1.6204156814775388;1.101022976286231;1.5466825748729889;1.9656744815711136;1.4255792339026812;1.1769395505671696;1.5304736841371778;0.8948002165680009;0.6126749446345627;1.0171040641582465;0.8948004180176667;0.9014267910162062;0.7836207280273584
A/duck/Eastern_China/JS017/2009(H5N1);1.567242667724031;1.0422804190176294;1.0422804190176294;1.0805643792130013;1.582356011910747;0.82842898258383;0.9262127962335285;1.567242667724031;1.567242667724031;1.4833167259258744;1.567242667724031;1.0422804190176294;1.567242667724031;2.0833530418647115;0.0;1.8264737662136667;0.8948021393104568;1.1555172327237528;1.3166306983293907;2.0833561711592665;1.879530046701916;1.4833208796799227;1.879530046701916;1.1555134101578801;1.158762897106044;1.042275888826282;1.483327666725927;1.042278045140165;1.3166343250077261;1.1587652633799053;1.826462242952175;1.5672423977830476;1.8264624776645633;2.083354456654547;1.5823560566494166;2.0833520187824206;2.083347936091627;1.8795369069159733
A/chicken/Yunnan/chuxiong01/2005(H5N1);1.557182249737366;1.2846069771013617;1.2846069771013617;1.8264737662136667;1.0019688335606816;1.8264737662136667;1.8264737662136667;0.8041362399105765;1.2846069771013617;1.2846069771013617;1.4439514406791432;1.6437119675399572;1.557182249737366;1.0019688335606816;1.8264737662136667;0.0;1.4845757912476074;1.274179682242277;2.472142602639792;0.8419145066077931;1.2846021904920235;1.274182178095316;1.2846021904920235;1.2846011491072318;1.2846125444889367;1.284602716047857;1.2846125444889367;1.2741838862201291;1.8524287261352583;1.225353579116927;0.8372591975690398;1.4439500718247018;1.2846067900607068;1.2846018293107022;1.0171040641582465;1.0019696669431255;1.225353479547664;1.225353579116927
A/chicken/Germany/R3234/2007(H5N1);1.5845815926479645;1.042274462389969;1.042274462389969;1.0805591378258441;1.582361297334728;0.8948021393104568;0.9262100667622803;1.2253486040685289;1.2253486040685289;1.1555172327237528;1.2253486040685289;0.7652386565526399;1.5845815926479645;1.9124143631343031;0.8948021393104568;1.4845757912476074;0.0;1.1555172327237528;1.3166306983293907;1.9124166970578926;1.879530046701916;1.1414340532375036;1.879530046701916;1.1555134101578801;0.8948015632931856;0.8218594567265427;1.1414314254475357;0.7920798235593338;1.316632283517265;0.8948012513424146;1.5823672052185884;1.2253508888636588;1.5823582725797678;1.912406483964105;1.5823560566494166;1.91240642999162;1.9124095005574873;1.8795369069159733
A/domestic_duck/Germany/R1772/2007(H5N1);1.4439474707588715;0.7240167154419623;1.0080372002855142;1.1555172327237528;1.0963787419326536;1.1555172327237528;1.1555172327237528;1.0080372002855142;1.2253486040685289;1.1414322343304093;1.2253486040685289;1.6437123740803372;1.4439474707588715;1.184720283579793;1.1555172327237528;1.274179682242277;1.1555172327237528;0.0;2.3121253205239327;1.3346490364860415;1.1555142439050314;1.155513245344764;1.1555142439050314;1.096377887566291;1.1555204170754223;1.1555188820977946;1.1555143873270026;1.0963798998242567;1.8524302165908466;1.1555188820977946;1.372095062392873;1.2253508888636588;1.184722833685214;1.1847185953284907;1.0963783254642863;1.3346507406087085;1.3346493761142142;1.225353579116927
A/wild_bird/Hong_Kong/07035-1/2011(H5N1);1.2950281060644784;2.014950368023051;2.3121253205239327;1.3166306983293907;2.014950368023051;1.3166306983293907;1.3166306983293907;2.472142602639792;1.3166306983293907;1.3166306983293907;1.2950281060644784;0.8284276638986512;1.2950281060644784;2.358907178998038;1.3166306983293907;2.472142602639792;1.3166306983293907;2.3121253205239327;0.0;2.312137902271388;2.605564856199294;1.3166338478524722;2.605564856199294;2.0149563713511043;1.3166326488817504;1.3166272495535623;1.3166307316903385;1.4641072146751526;1.0422816935169976;1.3166272495535623;2.014950368023051;1.2950277823520082;2.014955369395466;2.3121343275904565;2.3121256101216545;2.605569329650507;2.01496216099963;2.6055691881072107
A/Chicken/Hong_Kong/822.1/01_(H5N1);1.58458192000802;1.3912704127575353;1.3912704127575353;2.0833561711592665;0.8948004729353443;2.0833561711592665;2.0833561711592665;0.8419145066077931;1.0171068500392835;1.0171068500392835;1.0171068500392835;1.6584735032930666;1.58458192000802;0.8419145066077931;2.0833561711592665;0.8419145066077931;1.9124166970578926;1.3346490364860415;2.312137902271388;0.0;1.0422754999169115;1.1010213685791541;1.0422754999169115;1.042659847578875;1.4255780638859505;1.6204156814775388;1.1010289662358446;1.5466825748729889;1.4255761332645989;1.4255792339026812;0.979114492246822;1.017108033902332;0.8948002165680009;0.841917721352047;1.1010248469246164;0.8948004180176667;0.8419164321085191;0.8419163074199787
